id;name;session_code;start_date;end_date;allow_parallel_studies;allow_own_class_supervision;allow_combine_classes
1;parmi en decà de aigre;gêner pacifique hors;2024-11-28;2024-11-28;false;false;true
2;fermer même si;venger;2024-11-28;2024-11-28;true;true;true
3;cadre envelopper;orange à raison de;2024-11-28;2024-11-28;false;false;false
4;plic;snob;2024-11-28;2024-11-28;true;true;false
5;intrépide de la part de;ronron diplomate espérer;2024-11-27;2024-11-28;true;false;true
6;charitable hirsute à l'entour de;par;2024-11-28;2024-11-28;true;false;true
7;miam assurément;quand;2024-11-28;2024-11-28;true;true;false
8;précisément de crainte que priver;conseil d’administration adepte toc-toc;2024-11-28;2024-11-28;true;false;true
9;délégation aigre;drelin;2024-11-27;2024-11-28;false;true;true
10;au-dessus amener;quasi;2024-11-28;2024-11-28;false;false;false
