id;name;location;logo;logo_content_type;phone;email;website
1;dès encore;grrr conseil municipal;../fake-data/blob/hipster.png;image/png;0302423399;Alverede63@yahoo.fr;timide simple atchoum
2;raide;concernant ha;../fake-data/blob/hipster.png;image/png;+33 381963995;Elie31@yahoo.fr;super
3;dorénavant réserver;communauté étudiante population du Québec;../fake-data/blob/hipster.png;image/png;+33 671214289;Nicephore53@yahoo.fr;joliment
4;à la faveur de;rattacher insipide tellement;../fake-data/blob/hipster.png;image/png;+33 558344635;Fabrice.Pons94@gmail.com;embrasser affecter
5;blablabla;tsoin-tsoin;../fake-data/blob/hipster.png;image/png;0675065416;Florence.Fernandez@gmail.com;pendant que
6;âcre repasser;insolite sale;../fake-data/blob/hipster.png;image/png;0644092727;Gertrude41@yahoo.fr;membre du personnel
7;débile ronron lunatique;de par psitt;../fake-data/blob/hipster.png;image/png;0285261899;Gaston79@yahoo.fr;au cas où pleuvoir
8;pour que extatique pendant que;en bas de connaître à seule fin de;../fake-data/blob/hipster.png;image/png;+33 748153008;Samuel_Blanchard86@yahoo.fr;jusqu’à ce que
9;aussitôt que administration;lors de comme;../fake-data/blob/hipster.png;image/png;0748772256;Berthe57@yahoo.fr;à côté de
10;entre neutre;à partir de;../fake-data/blob/hipster.png;image/png;+33 378733226;Briac_Dufour83@hotmail.fr;bien que si
